City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luquillo,18.3725,-65.7166,27.23,78,40,3.09,PR,1681259353
1,punta arenas,-53.15,-70.9167,4.06,56,40,6.69,CL,1681259353
2,mataura,-46.1927,168.8643,11.38,96,100,1.8,NZ,1681259354
3,padang,-0.9492,100.3543,25.03,89,78,1.19,ID,1681259334
4,ushuaia,-54.8,-68.3,1.81,80,75,9.26,AR,1681259355
5,albany,42.6001,-73.9662,19.7,40,100,6.28,US,1681259271
6,peniche,39.3558,-9.3811,15.62,92,36,4.35,PT,1681259358
7,vestmannaeyjar,63.4427,-20.2734,5.07,77,65,2.81,IS,1681259351
8,sopo,4.9075,-73.9384,12.01,92,74,1.39,CO,1681259360
9,rikitea,-23.1203,-134.9692,24.95,70,100,3.56,PF,1681259361
10,new norfolk,-42.7826,147.0587,15.4,71,36,1.34,AU,1681259362
11,chapais,49.7834,-74.8492,1.88,96,100,7.89,CA,1681259117
12,hobart,-42.8794,147.3294,15.03,84,75,1.54,AU,1681259171
13,grenfell,-33.9,148.1667,12.45,64,100,3.16,AU,1681259364
14,ayagoz,47.9714,80.4392,1.13,85,68,5.97,KZ,1681259365
15,bethel,41.3712,-73.414,21.05,27,0,3.6,US,1681259220
16,east london,-33.0153,27.9116,15.39,66,99,2.73,ZA,1681259124
17,moron,-34.6534,-58.6198,25.55,67,63,2.23,AR,1681259366
18,college,64.8569,-147.8028,-8.29,73,100,0.0,US,1681259367
19,kalmunai,7.4167,81.8167,25.88,82,25,1.6,LK,1681259368
20,fort-shevchenko,44.5086,50.263,15.99,45,100,13.75,KZ,1681259368
21,ucluelet,48.9329,-125.5528,5.17,88,82,0.89,CA,1681259370
22,chuy,-33.6971,-53.4616,20.51,61,44,2.22,UY,1681259228
23,dikson,73.5069,80.5464,-23.82,95,100,7.83,RU,1681259373
24,saint-philippe,-21.3585,55.7679,23.77,81,8,3.44,RE,1681259373
25,ancud,-41.8697,-73.8203,12.41,93,96,0.71,CL,1681259374
26,yellowknife,62.456,-114.3525,-6.71,73,100,3.09,CA,1681259374
27,avarua,-21.2078,-159.775,29.03,61,55,5.66,CK,1681259375
28,narsaq,60.9167,-46.05,1.12,92,97,1.02,GL,1681259376
29,bonito,-21.1211,-56.4819,21.61,91,17,1.22,BR,1681259376
30,la ronge,55.1001,-105.2842,2.14,93,100,1.54,CA,1681259378
31,qaanaaq,77.484,-69.3632,-23.07,77,1,1.74,GL,1681259381
32,vaini,-21.2,-175.2,30.09,74,75,6.17,TO,1681259381
33,borogontsy,62.6683,131.1683,-6.1,89,100,0.83,RU,1681259382
34,nichinan,31.6,131.3667,19.82,88,99,2.29,JP,1681259383
